example_set,dataset,custom_id,pilot_row_id,category,market_direction,market_delta,prior,market_after,best_candidate_id,best_posterior,best_delta,best_error,oracle_improvement_vs_persistence,gap_type,bracket_status,candidate_posteriors,candidate_deltas,candidate_directions,recommended_candidate_id
largest_generation_gap,heldout_test72,gemma4_26b_explanation_grounded_nonnull_fullnews_bounded_ensemble5_20260629__kalshi_test_0354__mixed_blind__neutral_forecaster__s00,kalshi_test_0354,Politics,down,-0.7111,0.7543,0.043200000000000016,E3,0.6,-0.1543,0.5568,0.1543,right_direction_under_update,all_above_target,0.8500|0.7000|0.6000,0.0957|-0.0543|-0.1543,down|up,E1
largest_generation_gap,heldout_test72,gemma4_26b_explanation_grounded_nonnull_fullnews_bounded_ensemble5_20260629__kalshi_test_1104__mixed_blind__neutral_forecaster__s00,kalshi_test_1104,Politics,up,0.5395,0.1015,0.641,E2,0.14,0.0385,0.501,0.03849999999999998,right_direction_under_update,all_below_target,0.1200|0.1400|0.1015|0.1015|0.1015,0.0185|0.0385|0.0000|0.0000|0.0000,flat|up,E1
largest_generation_gap,heldout_test72,gemma4_26b_explanation_grounded_nonnull_fullnews_bounded_ensemble5_20260629__kalshi_test_1108__mixed_blind__neutral_forecaster__s00,kalshi_test_1108,Politics,up,0.3897,0.12240000000000001,0.5121,E4,0.132,0.0096,0.3801,0.009599999999999997,right_direction_under_update,all_below_target,0.1300|0.1224|0.1280|0.1320|0.1260,0.0076|0.0000|0.0056|0.0096|0.0036,flat|up,E2
largest_generation_gap,heldout_test72,gemma4_26b_explanation_grounded_nonnull_fullnews_bounded_ensemble5_20260629__kalshi_test_1016__mixed_blind__neutral_forecaster__s00,kalshi_test_1016,Companies,down,-0.3312,0.3412,0.010000000000000009,E4,0.37,0.0287999999999999,0.36,-0.028799999999999992,no_right_direction_candidate,all_above_target,0.4000|0.4000|0.4500|0.3700|0.4000,0.0588|0.0588|0.1088|0.0288|0.0588,up,E1
largest_generation_gap,heldout_test72,gemma4_26b_explanation_grounded_nonnull_fullnews_bounded_ensemble5_20260629__kalshi_test_0873__mixed_blind__neutral_forecaster__s00,kalshi_test_0873,Politics,up,0.3712,0.03,0.4012,E1,0.05,0.02,0.3512,0.019999999999999962,right_direction_under_update,all_below_target,0.0500|0.0300|0.0300|0.0300|0.0300,0.0200|0.0000|0.0000|0.0000|0.0000,flat|up,E1
largest_generation_gap,heldout_test72,gemma4_26b_explanation_grounded_nonnull_fullnews_bounded_ensemble5_20260629__kalshi_test_0002__mixed_blind__neutral_forecaster__s00,kalshi_test_0002,Politics,up,0.41,0.32,0.73,E1,0.42,0.0999999999999999,0.31,0.09999999999999998,right_direction_under_update,all_below_target,0.4200|0.4000|0.3800|0.3500|0.3200,0.1000|0.0800|0.0600|0.0300|0.0000,flat|up,E1
largest_generation_gap,heldout_test72,gemma4_26b_explanation_grounded_nonnull_fullnews_bounded_ensemble5_20260629__kalshi_test_0013__mixed_blind__neutral_forecaster__s00,kalshi_test_0013,Politics,up,0.3118999999999999,0.02,0.3318999999999999,E1,0.035,0.015,0.2968999999999999,0.015000000000000013,right_direction_under_update,all_below_target,0.0350|0.0200|0.0200|0.0200|0.0200,0.0150|0.0000|0.0000|0.0000|0.0000,flat|up,E2
largest_generation_gap,heldout_test72,gemma4_26b_explanation_grounded_nonnull_fullnews_bounded_ensemble5_20260629__kalshi_test_1012__mixed_blind__neutral_forecaster__s00,kalshi_test_1012,Companies,down,-0.3079,0.3311,0.0232,E3,0.32,-0.0110999999999999,0.2968,0.011099999999999999,right_direction_under_update,all_above_target,0.3400|0.3200|0.3311|0.3550,0.0089|-0.0111|0.0000|0.0239,down|flat|up,
largest_generation_gap,heldout_test72,gemma4_26b_explanation_grounded_nonnull_fullnews_bounded_ensemble5_20260629__kalshi_test_1105__mixed_blind__neutral_forecaster__s00,kalshi_test_1105,Politics,up,0.2673999999999999,0.641,0.9083999999999999,E1,0.66,0.019,0.2483999999999999,0.019000000000000017,right_direction_under_update,all_below_target,0.6600|0.6200|0.6000,0.0190|-0.0210|-0.0410,down|up,E1
largest_generation_gap,heldout_test72,gemma4_26b_explanation_grounded_nonnull_fullnews_bounded_ensemble5_20260629__kalshi_test_0067__mixed_blind__neutral_forecaster__s00,kalshi_test_0067,Elections,down,-0.2455,0.5515000000000001,0.3060000000000001,E4,0.543,-0.0084999999999999,0.237,0.008500000000000008,right_direction_under_update,all_above_target,0.5720|0.5800|0.5515|0.5430|0.5550,0.0205|0.0285|0.0000|-0.0085|0.0035,down|flat|up,E3
