dataset,custom_id,category,market_direction,market_move_bin,valid_candidate_count,best_has_max_selected_evidence_count,best_has_max_evidence_weights_count,best_has_max_abs_update,best_selected_evidence_count,prompt_max_selected_evidence_count,max_selected_evidence_count_tie_size,best_evidence_weights_count,prompt_max_evidence_weights_count,max_evidence_weights_count_tie_size,best_abs_update,prompt_max_abs_update,max_abs_update_tie_size,candidate_count,helpful_candidate_available,posterior_range
train_all_batches,gemma4_26b_grounded_nonnull_train_batch001_fullnews_bounded_ensemble5_20260629__kalshi_train_0165__mixed_blind__neutral_forecaster__s00,Politics,up,large,3,True,True,True,1.0,1.0,3,1.0,1.0,3,0.0514,0.0514,1,3,True,0.039999999999999994
train_all_batches,gemma4_26b_grounded_nonnull_train_batch001_fullnews_bounded_ensemble5_20260629__kalshi_train_0809__mixed_blind__neutral_forecaster__s00,Companies,up,large,4,True,True,True,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,4,False,0.0
train_all_batches,gemma4_26b_grounded_nonnull_train_batch001_fullnews_bounded_ensemble5_20260629__kalshi_train_2712__mixed_blind__neutral_forecaster__s00,Politics,up,large,4,True,True,True,2.0,2.0,2,2.0,2.0,2,0.0063,0.0063,1,4,True,0.0063
train_all_batches,gemma4_26b_grounded_nonnull_train_batch001_fullnews_bounded_ensemble5_20260629__kalshi_train_2403__mixed_blind__neutral_forecaster__s00,Companies,up,large,5,True,True,True,2.0,2.0,1,2.0,2.0,1,0.034,0.034,1,5,True,0.03400000000000003
train_all_batches,gemma4_26b_grounded_nonnull_train_batch001_fullnews_bounded_ensemble5_20260629__kalshi_train_0342__mixed_blind__neutral_forecaster__s00,Companies,up,large,5,True,True,True,2.0,2.0,1,2.0,2.0,1,0.0311999999999999,0.0311999999999999,1,5,True,0.05299999999999999
train_all_batches,gemma4_26b_grounded_nonnull_train_batch001_fullnews_bounded_ensemble5_20260629__kalshi_train_1568__mixed_blind__neutral_forecaster__s00,Politics,up,large,4,True,True,True,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,4,False,0.0
train_all_batches,gemma4_26b_grounded_nonnull_train_batch001_fullnews_bounded_ensemble5_20260629__kalshi_train_1939__mixed_blind__neutral_forecaster__s00,Politics,up,large,5,False,False,False,0.0,5.0,2,0.0,5.0,2,0.0,0.2461999999999999,1,5,False,0.24619999999999997
train_all_batches,gemma4_26b_grounded_nonnull_train_batch001_fullnews_bounded_ensemble5_20260629__kalshi_train_0820__mixed_blind__neutral_forecaster__s00,Politics,down,large,5,True,True,False,5.0,5.0,5,5.0,5.0,5,0.0035,0.0364999999999999,2,5,True,0.040000000000000036
train_all_batches,gemma4_26b_grounded_nonnull_train_batch001_fullnews_bounded_ensemble5_20260629__kalshi_train_0832__mixed_blind__neutral_forecaster__s00,Companies,up,large,5,True,True,False,3.0,3.0,4,3.0,3.0,4,0.0292,0.0307999999999999,1,5,True,0.05999999999999994
train_all_batches,gemma4_26b_grounded_nonnull_train_batch001_fullnews_bounded_ensemble5_20260629__kalshi_train_2406__mixed_blind__neutral_forecaster__s00,Companies,down,large,4,True,True,False,1.0,1.0,4,1.0,1.0,4,0.025,0.0949999999999999,1,4,False,0.06999999999999995
train_all_batches,gemma4_26b_grounded_nonnull_train_batch001_fullnews_bounded_ensemble5_20260629__kalshi_train_1678__mixed_blind__neutral_forecaster__s00,Politics,up,large,5,True,True,True,2.0,2.0,1,2.0,2.0,1,0.0029999999999999,0.0029999999999999,1,5,True,0.0049999999999999975
train_all_batches,gemma4_26b_grounded_nonnull_train_batch001_fullnews_bounded_ensemble5_20260629__kalshi_train_0628__mixed_blind__neutral_forecaster__s00,Elections,down,large,5,True,True,True,5.0,5.0,5,0.0,0.0,5,0.0069,0.0069,1,5,True,0.006900000000000017
train_all_batches,gemma4_26b_grounded_nonnull_train_batch001_fullnews_bounded_ensemble5_20260629__kalshi_train_1632__mixed_blind__neutral_forecaster__s00,Companies,up,large,4,True,True,True,5.0,5.0,3,5.0,5.0,3,0.0237,0.0237,1,4,True,0.015000000000000013
train_all_batches,gemma4_26b_grounded_nonnull_train_batch001_fullnews_bounded_ensemble5_20260629__kalshi_train_1782__mixed_blind__neutral_forecaster__s00,Politics,down,large,5,True,True,True,1.0,1.0,4,1.0,1.0,4,0.0618999999999999,0.0618999999999999,1,5,True,0.09999999999999998
train_all_batches,gemma4_26b_grounded_nonnull_train_batch001_fullnews_bounded_ensemble5_20260629__kalshi_train_2096__mixed_blind__neutral_forecaster__s00,Politics,down,large,5,False,False,False,4.0,5.0,4,4.0,5.0,4,0.044,0.0559999999999999,2,5,True,0.10000000000000003
train_all_batches,gemma4_26b_grounded_nonnull_train_batch001_fullnews_bounded_ensemble5_20260629__kalshi_train_0739__mixed_blind__neutral_forecaster__s00,Politics,up,large,5,True,True,True,1.0,1.0,5,1.0,1.0,5,0.036,0.036,1,5,True,0.06000000000000005
